order_id,customer_id,delivery_date,delivery_issue,delay_days,is_delayed
501,1001,2026-06-14,Unreported Issue,12,1
502,1002,2026-06-25,Sorting Hub Delay,1,1
503,1003,2026-06-16,Unreported Issue,10,1
504,1004,2026-06-26,Damaged in Transit,0,0
506,1001,2026-06-20,Unreported Issue,6,1
507,1002,2026-06-27,Sorting Hub Delay,-1,0
509,1004,2026-06-10,Unreported Issue,16,1
510,1005,2026-06-24,Unreported Issue,2,1
511,1001,2026-06-15,Sorting Hub Delay,11,1
512,1002,2026-06-05,Unreported Issue,21,1
513,1003,2026-06-26,Incorrect Address,0,0
514,1004,2026-06-18,Unreported Issue,8,1
515,1005,2026-06-25,Damaged in Transit,1,1
